Wavenumber (cm-1)	CaF2_001mean
1349	1.45758373643427e-5
1350	1.729566308010057e-5
1351	1.760383262687054e-5
1352	1.407593905848144e-5
1353	1.448599626504197e-5
1354	1.494875262627227e-5
1355	1.52880408374282e-5
1356	2.248135084907214e-5
1357	2.18364020838635e-5
1358	1.745828073277756e-5
1359	1.981924409240793e-5
1360	2.468722535316674e-5
1361	2.472838120108157e-5
1362	1.718122833456924e-5
1363	1.480119256787777e-5
1364	1.990707702740717e-5
1365	1.944933865161147e-5
1366	2.343547263687167e-5
1367	2.656937067513353e-5
1368	1.920189970405773e-5
1369	2.33109997983168e-5
1370	2.44312523136614e-5
1371	2.637714048129663e-5
1372	2.010231886136657e-5
1373	1.005266494757964e-5
1374	1.635559389493817e-5
1375	1.97088247659849e-5
1376	2.39594622447233e-5
1377	2.220028303175544e-5
1378	2.05931816405306e-5
1379	2.917827502339304e-5
1380	2.144491554645357e-5
1381	2.290395483820853e-5
1382	2.11633462943913e-5
1383	1.98694336480306e-5
1384	2.345253778912594e-5
1385	2.541398377312967e-5
1386	2.263945073840054e-5
1387	2.58551590377465e-5
1388	2.86954430824456e-5
1389	2.077236240438654e-5
1390	2.48884892547115e-5
1391	2.083208892145197e-5
1392	2.195485164217341e-5
1393	1.96997898456175e-5
1394	1.80269392634121e-5
1395	2.64142818195978e-5
1396	1.78547858619519e-5
1397	2.021123206456343e-5
1398	1.503307339589807e-5
1399	2.043457971012687e-5
1400	2.28793614951428e-5
1401	2.105041797525093e-5
1402	2.307359864062167e-5
1403	2.00104689914345e-5
1404	1.652473595944077e-5
1405	2.044813118118327e-5
1406	2.750592587593324e-5
1407	2.790293365251274e-5
1408	2.771220897557217e-5
1409	2.64127763027015e-5
1410	1.854691314899054e-5
1411	2.62747513867604e-5
1412	2.780405823917437e-5
1413	3.052538886549887e-5
1414	2.437202844400117e-5
1415	2.62963336960335e-5
1416	3.455568973246654e-5
1417	3.862714826633844e-5
1418	1.535880922650297e-5
1419	1.804249768611043e-5
1420	2.603684879431967e-5
1421	3.418478202850867e-5
1422	3.176610031611444e-5
1423	3.284318881924263e-5
1424	2.789088769835267e-5
1425	2.57567856654835e-5
1426	2.969624074466994e-5
1427	2.945582855318207e-5
1428	3.434689824644011e-5
1429	1.03643481755474e-5
1430	3.041848322027364e-5
1431	2.7487857247858e-5
1432	3.028397319819e-5
1433	4.023876681458207e-5
1434	4.779997228373154e-5
1435	3.06583939770159e-5
1436	2.21711731380007e-5
1437	3.09108533353234e-5
1438	3.308661386351253e-5
1439	3.450549896418426e-5
1440	3.384649729317363e-5
1441	3.45441464257116e-5
1442	3.561220122113207e-5
1443	3.891624510288236e-5
1444	3.810617029860927e-5
1445	4.28742726702088e-5
1446	3.221982236330707e-5
1447	2.845101395602493e-5
1448	3.195983542051786e-5
1449	3.928163156767067e-5
1450	3.992908993192637e-5
1451	3.754955711580504e-5
1452	3.70802748269246e-5
1453	3.943370999574354e-5
1454	3.977400289538004e-5
1455	4.130933060271974e-5
1456	2.57201463682577e-5
1457	3.064935966297826e-5
1458	2.686499283299784e-5
1459	3.789085288493273e-5
1460	4.023926885565744e-5
1461	4.436342593786927e-5
1462	4.88996471782836e-5
1463	3.814531858855236e-5
1464	3.345852564962117e-5
1465	3.786575810712144e-5
1466	3.651462733008277e-5
1467	3.873807024016667e-5
1468	3.923545712799147e-5
1469	3.687951296645527e-5
1470	4.149804832801843e-5
1471	2.44568503452077e-5
1472	2.497682423078613e-5
1473	3.20386346478093e-5
1474	2.916773579878887e-5
1475	1.842746011485967e-5
1476	3.24562194388515e-5
1477	3.193975923447093e-5
1478	3.2332751895107e-5
1479	3.033918316456647e-5
1480	3.334409120725471e-5
1481	3.166923124808817e-5
1482	3.14759981847601e-5
1483	2.96435403773406e-5
1484	3.378375913598573e-5
1485	3.538433520589023e-5
1486	2.916873927460983e-5
1487	3.382391150807961e-5
1488	3.028246768129371e-5
1489	2.31022077059606e-5
1490	2.575026034416324e-5
1491	3.10950520846139e-5
1492	3.473436906157683e-5
1493	3.598913220533484e-5
1494	3.56714263034519e-5
1495	3.14363484600714e-5
1496	2.952308447371861e-5
1497	3.56478370425369e-5
1498	2.792150432166334e-5
1499	2.990804508347837e-5
1500	3.467313581495546e-5
1501	3.538885357556864e-5
1502	3.298171516992927e-5
1503	3.78446772325939e-5
1504	4.324317342252471e-5
1505	1.922297997225544e-5
1506	2.1634134100168e-5
1507	2.48398040033256e-5
1508	3.880181066051591e-5
1509	3.283465654628041e-5
1510	3.431477489357347e-5
1511	3.524731619108933e-5
1512	3.918827860616147e-5
1513	5.042995568752911e-5
1514	4.53170456845934e-5
1515	2.393537033640317e-5
1516	2.828839751600754e-5
1517	4.995465375638254e-5
1518	6.468005813076164e-5
1519	3.149356537808977e-5
1520	2.82582823274424e-5
1521	3.214152638975067e-5
1522	5.126864198246037e-5
1523	5.404166950029323e-5
1524	3.581898636184633e-5
1525	3.825623934972101e-5
1526	4.212342173559594e-5
1527	4.16425955336308e-5
1528	4.407131624854324e-5
1529	4.763334012144094e-5
1530	6.065778507036157e-5
1531	6.205208046594635e-5
1532	6.569541195252292e-5
1533	3.229561055680583e-5
1534	4.32572257219969e-5
1535	4.659238705547374e-5
1536	4.504802564042624e-5
1537	5.23371976062966e-5
1538	2.95481792515299e-5
1539	1.918533689604373e-5
1540	3.088927041972061e-5
1541	2.69372679516285e-5
1542	3.737138043409993e-5
1543	2.616985451216653e-5
1544	2.027196205744987e-5
1545	2.99652620014967e-5
1546	3.368990292074157e-5
1547	3.97453932237113e-5
1548	2.98382807765544e-5
1549	2.39368758532995e-5
1550	3.112867913538747e-5
1551	3.586666753108147e-5
1552	3.78657575007916e-5
1553	1.97223762370413e-5
1554	2.236490824240417e-5
1555	2.796968631931431e-5
1556	3.80098038779882e-5
1557	2.221835226616047e-5
1558	1.87747779515727e-5
1559	1.671646411220233e-5
1560	2.191620539330567e-5
1561	2.85493879346177e-5
1562	3.197589588429157e-5
1563	3.363569824917553e-5
1564	2.262790652215091e-5
1565	2.795613484825784e-5
1566	3.135253003468581e-5
1567	3.095301265905923e-5
1568	2.983978629345077e-5
1569	1.86934691252342e-5
1570	2.606094070263983e-5
1571	2.887412059256654e-5
1572	2.995221317784547e-5
1573	4.288631801803908e-5
1574	2.65819180640392e-5
1575	1.485439436995273e-5
1576	2.032717202382627e-5
1577	2.592893846061394e-5
1578	2.61492756787144e-5
1579	2.579994907137007e-5
1580	2.770467987526597e-5
1581	2.58641927454543e-5
1582	2.55625479136749e-5
1583	2.658944564852087e-5
1584	2.638868439438134e-5
1585	2.53412072197534e-5
1586	2.660701344818034e-5
1587	2.02298024305492e-5
1588	2.368542118347247e-5
1589	2.242011790561567e-5
1590	2.705170178766517e-5
1591	2.478057983050043e-5
1592	2.482926356606187e-5
1593	2.45241056594144e-5
1594	2.21847240027273e-5
1595	2.573972051322927e-5
1596	2.50490993494168e-5
1597	2.86241726522955e-5
1598	2.63033604520994e-5
1599	2.78110837825807e-5
1600	2.638316376154157e-5
1601	2.635505673727797e-5
1602	2.582554649658657e-5
1603	2.699448426331703e-5
1604	2.484432116034443e-5
1605	2.68183163522432e-5
1606	2.7636421994733e-5
1607	2.575176646738933e-5
1608	2.465761281200684e-5
1609	2.401216139939304e-5
1610	2.568099807831457e-5
1611	2.434793653568097e-5
1612	2.60217918063669e-5
1613	2.36176638281904e-5
1614	2.889269126171714e-5
1615	2.08074949720564e-5
1616	1.69187317927329e-5
1617	2.105895085454297e-5
1618	2.09610786138607e-5
1619	2.12250812789231e-5
1620	2.03909142631649e-5
1621	2.209538524766684e-5
1622	1.66080526469159e-5
1623	1.646199749908797e-5
1624	1.685850293142717e-5
1625	1.999390678975034e-5
1626	1.562030229251829e-5
1627	1.647404315008313e-5
1628	1.648157255355423e-5
1629	1.520874017539123e-5
1630	1.917931391896367e-5
1631	2.052793418746053e-5
1632	2.008475166803693e-5
1633	1.56253211874476e-5
1634	1.242768136459441e-5
1635	1.778702820350494e-5
1636	1.831904834640833e-5
1637	1.970531078162213e-5
1638	2.621602895184577e-5
1639	2.798173166714453e-5
1640	2.475498270844884e-5
1641	3.306754115328657e-5
1642	3.099818483557707e-5
1643	3.180273900701044e-5
