Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
770	2.8879641396539e-5
771	4.25997296345611e-5
772	2.66361238949309e-5
773	2.58832656729148e-5
774	1.88440412970639e-5
775	2.4913584282958e-5
776	2.68077755695506e-5
777	2.9811679875395e-5
778	3.44522979559024e-5
779	3.45441466589884e-5
780	3.32778391295573e-5
781	3.461943248119e-5
782	2.65126551465203e-5
784	2.62325918879303e-5
785	3.7745299819001e-5
786	3.77166912065644e-5
787	4.63414349979813e-5
788	3.45080094643316e-5
789	3.37235311969908e-5
790	4.64317779846232e-5
791	4.12852391789209e-5
792	4.64799609108322e-5
793	5.91204504584832e-5
794	4.40316659728358e-5
795	4.91526075989895e-5
796	5.34303480164852e-5
797	4.68654243205045e-5
798	4.64332837010672e-5
799	5.00710946298492e-5
800	6.70360018047608e-5
801	4.64543637312837e-5
802	5.49752130880623e-5
803	5.01388518698307e-5
804	5.11160618420076e-5
805	6.11230533290461e-5
807	5.44090637051062e-5
808	6.35894168643709e-5
809	5.57310827429665e-5
810	5.88554443643335e-5
811	7.79885832186516e-5
812	8.83524295029257e-5
813	6.06367069176237e-5
814	7.30453161328936e-5
815	8.17242657162956e-5
816	6.15235739031587e-5
817	6.11742476881432e-5
818	8.79790118248057e-5
819	8.62113007195118e-5
820	7.83228522692267e-5
821	7.24776610334934e-5
822	7.81798092070437e-5
823	8.10316361520408e-5
825	7.39532631486451e-5
826	6.99254716608587e-5
827	9.66429042437674e-5
828	9.52154850548248e-5
829	8.63739180954673e-5
830	7.37560142944768e-5
831	7.5300879366054e-5
832	1.00720384374207e-4
833	7.71032219495606e-5
834	9.45755555661111e-5
835	9.07179100365004e-5
836	9.42096664702112e-5
838	1.04647292860243e-4
839	1.04261829450571e-4
840	8.86656185232844e-5
841	1.23098342165414e-4
842	9.8955684701801e-5
843	1.09223165133657e-4
844	1.13348828190305e-4
845	1.1646867266234e-4
846	1.19925797617838e-4
847	1.33882283337574e-4
848	1.21283953850356e-4
849	1.17254656646125e-4
850	1.24069529271815e-4
851	1.16605692858747e-4
852	1.35219359539874e-4
853	1.14080606382105e-4
855	1.42034232165564e-4
856	1.22511112752242e-4
857	1.37301765381971e-4
858	1.33983166339324e-4
859	1.35621385830431e-4
861	1.40942587743641e-4
862	1.47987834985268e-4
863	1.57784026170142e-4
864	1.45554597211712e-4
865	1.65604717380445e-4
866	1.46912753444229e-4
867	1.54167295271576e-4
868	1.72139526747546e-4
869	1.75328634176006e-4
870	1.67727777566531e-4
871	1.50392464146387e-4
872	1.53497251453982e-4
873	1.51860537679319e-4
874	1.48843081925478e-4
875	1.47573762963159e-4
876	1.43527902878044e-4
877	1.47513534305398e-4
878	1.41678883084773e-4
879	1.71461954347731e-4
880	1.33281502476405e-4
881	1.48642821638422e-4
882	1.29452465559231e-4
883	1.31897749064339e-4
884	1.53080167998985e-4
885	1.45885854829399e-4
886	1.6285076200431e-4
887	1.69158208188362e-4
888	1.77608288872271e-4
889	1.74024683735474e-4
890	1.78172932538783e-4
891	1.7308210524151e-4
892	1.63379268476166e-4
893	1.87835114960138e-4
894	1.65777874771509e-4
895	1.86818756360416e-4
896	1.69349434176754e-4
897	1.5370202889037e-4
898	1.7684639635159e-4
899	1.77257456940811e-4
900	1.97313599975321e-4
901	1.83929286504318e-4
902	1.89629928961424e-4
903	1.74970273662326e-4
905	1.98554310325204e-4
906	1.90635747546038e-4
907	1.64957259309512e-4
908	1.67629905997669e-4
910	1.79916552180972e-4
911	1.75209682576927e-4
912	1.64413695673216e-4
913	1.7308963382373e-4
915	1.61540788698002e-4
916	1.72262995495956e-4
917	1.74776036241046e-4
918	1.86178826871702e-4
919	1.58139375250933e-4
920	1.7683886776937e-4
921	1.72309672705721e-4
922	1.69387077087855e-4
923	1.63343131281509e-4
924	1.49662191671032e-4
925	1.5050539287969e-4
926	1.47399099855651e-4
927	1.67158616750687e-4
928	1.83241174089396e-4
929	1.49094536571632e-4
930	1.78084095268585e-4
931	1.60998730778151e-4
932	1.61345045560278e-4
933	1.89539585974782e-4
934	1.5518817102063e-4
935	1.53471654274433e-4
936	1.70301046969382e-4
937	1.4834318406606e-4
938	1.52255035387655e-4
939	1.43807966136634e-4
940	1.43181588095917e-4
941	1.31336116830715e-4
942	1.30536581398934e-4
943	1.41362682631526e-4
944	1.22112097894573e-4
945	1.05830785985252e-4
946	1.10504529827529e-4
947	9.43963753092712e-5
948	9.84166382148374e-5
949	1.12044877749774e-4
951	1.2253670993179e-4
952	1.26195600890789e-4
953	1.22905610460578e-4
954	1.22422275482044e-4
955	1.19014839169199e-4
956	1.16637312904072e-4
957	1.25948663393968e-4
958	1.44160303784538e-4
959	1.14604595704628e-4
960	1.24248709528655e-4
961	1.26224209503225e-4
962	1.3016918658659e-4
963	1.18525481324888e-4
964	1.155200713026e-4
965	1.24283341006868e-4
966	1.14816901723237e-4
967	1.108523503261e-4
968	1.00693281478214e-4
969	1.11445602605049e-4
970	1.04091683492395e-4
971	9.61942007434458e-5
972	1.00206935066792e-4
973	1.0252874982349e-4
974	9.61851664447816e-5
975	1.05737431565722e-4
976	1.0543779399336e-4
977	9.80612891340458e-5
978	1.07149793590225e-4
979	1.08949124740843e-4
980	8.93326509079907e-5
981	1.02673298602117e-4
982	9.32580536775828e-5
983	8.44887611075389e-5
985	7.88543701739701e-5
986	6.9424068084996e-5
987	4.99265458512221e-5
988	6.37957000172034e-5
989	6.63042236129611e-5
990	7.30302589684533e-5
991	7.15064739270926e-5
992	6.21183318985514e-5
993	7.37740828918053e-5
994	5.76704455228801e-5
995	7.34217452439017e-5
996	6.64337152271479e-5
997	8.94275110439647e-5
998	7.65039468048357e-5
999	7.82837036416819e-5
1000	8.53891795410702e-5
1001	6.2285466423839e-5
1002	6.31632991107098e-5
1003	5.52537706302083e-5
1004	8.11310134373469e-5
1005	8.38789459477058e-5
1006	8.45279097350837e-5
1007	8.60848205382131e-5
1008	8.4958544638077e-5
1009	7.82821979252379e-5
1010	8.24138838476624e-5
1011	6.71127933434065e-5
1012	8.11189677057947e-5
1013	9.20595033881332e-5
1014	8.56722542325483e-5
1015	8.82289607545151e-5
1016	6.74274880802092e-5
1017	7.91675591943288e-5
1018	7.05202296562515e-5
1019	9.56265456440456e-5
1020	1.08848241739093e-4
1021	8.88387759143481e-5
1022	9.73159594942498e-5
1023	8.35416654642426e-5
1024	9.05251783316643e-5
1025	8.687532167133e-5
1026	8.94982797168343e-5
1027	8.42839836711505e-5
1028	7.2503258213042e-5
1029	8.14517310399258e-5
1030	8.76357084755663e-5
1031	9.87418729667484e-5
1032	7.48009815066353e-5
1033	8.97723201096481e-5
1034	6.18548315208458e-5
1035	7.96629399044155e-5
1036	9.22160978983125e-5
1037	8.3889485962814e-5
1038	7.80985005190659e-5
1039	6.72558364055895e-5
1040	6.06126154545191e-5
1041	5.51363247475738e-5
1042	4.74391022856808e-5
1043	7.62012977995853e-5
1044	5.92454249233378e-5
1045	6.88052186264987e-5
1046	7.44426209929556e-5
1047	7.45389868453736e-5
1048	6.73025136153545e-5
1049	8.35928598233397e-5
1050	7.31657734484162e-5
1051	7.90230104157017e-5
1052	6.14046223040801e-5
1053	7.32079335088491e-5
1054	6.61747319987743e-5
1055	5.97784485445253e-5
1056	6.96845570298136e-5
1057	4.93965336629227e-5
1058	5.86883098390459e-5
1059	5.43111921362441e-5
1060	6.02120948804066e-5
1061	5.77035712846488e-5
1062	5.14187108472581e-5
1063	6.5972965995274e-5
1064	6.49249873502276e-5
1065	4.94176136931392e-5
1066	5.13976308170416e-5
1067	5.63514379179078e-5
1068	5.18297714364789e-5
1069	6.19933574336967e-5
1070	6.06487526491759e-5
1071	5.7294016411872e-5
1072	4.74993309434421e-5
1073	6.06442354998438e-5
1074	3.76278539363665e-5
1075	6.36662084030166e-5
1076	6.03174950314888e-5
1077	4.75610653176474e-5
1078	7.15606797190778e-5
1079	5.60638460770976e-5
1080	5.53636879306226e-5
1081	5.59584459260154e-5
1082	5.17740599280497e-5
1083	5.42554806278149e-5
1084	5.19381830204492e-5
1085	5.6035237464661e-5
1086	4.16526339912648e-5
1087	3.54822080036205e-5
1089	5.90828075473823e-5
1090	2.78135941541641e-5
1091	3.60227602070281e-5
1092	3.8443952249032e-5
1093	4.38795886119885e-5
1094	2.92018647155619e-5
1095	3.55138280489452e-5
1096	3.12948105727668e-5
1097	3.82331519468675e-5
1098	1.26043523529942e-5
1100	3.48633585451232e-5
1101	3.39584229622598e-5
1102	5.7807465719287e-5
1103	4.39247601053095e-5
1104	4.21540375671275e-5
1105	3.04260121845601e-5
1106	4.2550040991908e-5
1107	4.32125562272822e-5
1108	4.58053999439058e-5
1109	3.84319065174797e-5
1110	5.08781586438505e-5
1111	4.45150009513701e-5
1112	4.12144705060514e-5
1113	4.57798027643572e-5
1114	5.6360472216572e-5
1115	3.97238112264594e-5
1116	3.67680898468241e-5
1117	4.06031496297743e-5
1118	3.34269050575165e-5
1119	5.38655000688105e-5
1120	3.70014758956491e-5
1121	6.62183977756513e-5
1123	4.90050473874743e-5
1124	4.54952223564351e-5
1126	5.04249379941968e-5
1127	5.14473194596947e-5
1128	3.14830251282708e-5
1129	6.65948268866594e-5
1130	6.289076443434e-5
1131	5.09715130633805e-5
1132	5.01433690191628e-5
1133	5.7062136079491e-5
1134	5.35056338386868e-5
1135	5.37525713355081e-5
1136	4.60764289038316e-5
1137	6.35803825657067e-5
1138	4.13725707326748e-5
1139	5.15030309681239e-5
1140	5.4820124294327e-5
1141	4.89207272666085e-5
1142	4.96540111748523e-5
1143	4.87912356524218e-5
1144	6.47277384960593e-5
1145	5.94697766734986e-5
1146	3.90883988870778e-5
1147	5.13885965183774e-5
1148	5.12244734259779e-5
1149	4.69211358289337e-5
1150	4.91465847332134e-5
1151	4.60116830967382e-5
1152	6.47156927645071e-5
1153	6.63990837489352e-5
1154	7.0124226231471e-5
1155	7.76979799449533e-5
1156	6.36526569550203e-5
1157	6.57983028877663e-5
1158	5.50836246720326e-5
1159	5.81447462027502e-5
1160	5.89472930674194e-5
1161	6.87088527740807e-5
1162	6.70631047007534e-5
1163	6.17328684888792e-5
1164	7.06346641059979e-5
1165	7.57857200610323e-5
1166	5.41139432820759e-5
1167	5.95977625712414e-5
1168	6.52607621172468e-5
1169	7.81376491466108e-5
1170	8.85014954308849e-5
1171	6.77753085787807e-5
1172	8.48079729936737e-5
1173	8.57761486671865e-5
1174	6.55950311678219e-5
1175	7.18407429776678e-5
1176	7.99535431781137e-5
1177	8.33594737745147e-5
1178	8.55578197828018e-5
1179	6.80568775538147e-5
1180	8.41951464009526e-5
1181	6.83414579617368e-5
1182	6.82676778559792e-5
1183	5.85904382701838e-5
1184	5.28024642593238e-5
1185	6.64879210191331e-5
1186	6.24119466051377e-5
1187	6.97809228822317e-5
1188	5.46936441130283e-5
1189	6.08761158322248e-5
1190	6.25971497277537e-5
1191	6.31015647365045e-5
1192	7.56818256263941e-5
1193	6.66776412910811e-5
1194	8.89170731694378e-5
1196	7.14823824639881e-5
1197	8.0899133104966e-5
1198	4.27171755171956e-5
1199	4.73156335372701e-5
1200	6.59413459499494e-5
1201	5.86807812568257e-5
1202	6.17434085039874e-5
1203	7.23436522699746e-5
1204	5.92589763713341e-5
1205	5.56542912043209e-5
1206	6.17659942506479e-5
1207	4.89131986843884e-5
1208	7.09839903210134e-5
1210	5.29244272912904e-5
1211	6.34629366830722e-5
1212	6.27793414174816e-5
1213	6.57064541846803e-5
1215	5.13102992632878e-5
1216	7.56170798193008e-5
1217	5.48246414436591e-5
1218	4.21028432080304e-5
1219	5.61090175704186e-5
1220	6.29780959880938e-5
1221	5.21971662488228e-5
1222	4.20185230871646e-5
1223	4.58671343181111e-5
1224	5.67549699249085e-5
1225	5.42298834482664e-5
1226	5.23989322523231e-5
1227	5.09685016304924e-5
1228	5.40612432065347e-5
1229	5.89382587687553e-5
1230	3.1493565143379e-5
1231	2.6407254995438e-5
1232	2.89835358311772e-5
1233	5.10558331842463e-5
1234	5.12621163370787e-5
1235	5.05213038466149e-5
1236	6.09122530268816e-5
1237	3.7558590979941e-5
1238	5.11491876037763e-5
1239	3.02016604343993e-5
1240	4.59409144238687e-5
1241	5.56783826674254e-5
1242	4.98618000441287e-5
1243	6.73266050784591e-5
1244	5.7527402460697e-5
1245	6.03235178972649e-5
1246	6.46554641067458e-5
1247	7.83514608816633e-5
1248	8.53952024068463e-5
1249	8.63031494225978e-5
1250	8.9157987800483e-5
1251	9.76592628434892e-5
1252	9.90309705240026e-5
1253	1.18114420735668e-4
1254	1.15125573594264e-4
1255	1.26206140905897e-4
1256	1.18010526301029e-4
1257	9.85581755605764e-5
1258	9.71985136116153e-5
1259	1.08429652567652e-4
1260	1.28172606581803e-4
1261	1.2850386419949e-4
1262	1.36249269587592e-4
1263	1.36967496331396e-4
1264	1.32740950272997e-4
1265	1.41918291999374e-4
1266	1.3332065110395e-4
1267	1.49285762560024e-4
1268	1.42808170417797e-4
1269	1.45696134557451e-4
1270	1.57138073815652e-4
1272	1.62067789453414e-4
1273	1.37011162108273e-4
1274	1.34666761604914e-4
1275	1.60431075678751e-4
1276	1.43034027884402e-4
1277	1.55090299451768e-4
1278	1.34809804667097e-4
1279	1.55581163012523e-4
1280	1.4239861554502e-4
1281	1.63127813830012e-4
1282	1.377233659863e-4
1283	1.54640090235002e-4
1284	1.33785917485156e-4
1285	1.44313886861829e-4
1286	1.43500799982052e-4
1288	1.33906374800678e-4
1289	1.33275479610629e-4
1290	1.43381848382973e-4
1291	1.55739263239146e-4
1292	1.52783541859511e-4
1293	1.41623171576343e-4
1294	1.33679011617629e-4
1295	1.43607705849578e-4
1296	1.41019379282287e-4
1297	1.46784767546486e-4
1298	1.51782240424229e-4
1299	1.40691133097488e-4
1300	1.4051646998998e-4
1301	1.25661071553157e-4
1302	1.33871743322465e-4
1304	1.18743810209273e-4
1305	1.45955117785824e-4
1306	1.0739070822127e-4
1307	1.1982943176542e-4
1308	1.16116335014437e-4
1309	1.28157549417363e-4
1310	1.29208539495297e-4
1311	1.0441089537853e-4
1312	1.08854264604869e-4
1313	1.03826677398245e-4
1314	1.03638462842741e-4
1315	1.06050620586081e-4
1316	1.02789238768307e-4
1317	9.14316196309717e-5
1318	8.64492039176689e-5
1319	8.43502351946879e-5
1320	9.21332834938907e-5
1321	8.3139639173686e-5
1322	8.00724947771922e-5
1323	7.19943260549591e-5
1324	9.26648013986341e-5
1325	8.68211158793449e-5
1326	8.48742245172111e-5
1327	8.83584523687018e-5
1328	9.37730087014419e-5
1329	9.79543832665195e-5
1330	9.86455071143303e-5
1331	9.01111063095554e-5
1332	9.47080586131859e-5
1333	1.03192770775308e-4
1334	8.69942732704086e-5
1336	7.43643237378659e-5
1337	6.65556782591145e-5
1338	8.9861157379846e-5
1339	6.69652331318913e-5
1340	6.36586798207964e-5
1341	7.82957493732342e-5
1342	7.88829787864067e-5
1343	5.71946391265659e-5
1344	5.9252953505558e-5
1345	6.35156367586134e-5
1346	5.26022039722674e-5
1347	6.79650288507287e-5
1349	3.51012617432803e-5
1350	7.02190863674451e-5
1351	5.90060160087367e-5
1352	5.7435553757611e-5
1354	8.19787317953371e-5
1355	8.09714074942795e-5
1356	6.53887480149895e-5
1357	6.77180913539074e-5
1358	7.39306774019846e-5
1359	7.7962986039103e-5
1360	8.00468975976437e-5
1361	8.68316558944531e-5
1362	6.69802902963316e-5
1363	7.35135939469877e-5
1364	8.51226677304765e-5
1365	9.4292480874633e-5
1366	8.77682115226412e-5
1367	9.15912255740391e-5
1368	8.46905271110392e-5
1369	8.90540933658447e-5
1370	8.75303083244841e-5
1371	1.05415208246699e-4
1372	7.61952749338091e-5
1373	8.48365816061104e-5
1374	9.12328650603594e-5
1375	1.05339922424498e-4
1376	8.63257351692583e-5
1377	9.22176036147565e-5
1379	1.05326370976502e-4
1380	1.00063892004609e-4
1381	1.13132005022365e-4
1383	1.03799574502253e-4
1384	9.62273265052145e-5
1385	9.62122693407742e-5
1386	9.29990704492093e-5
1387	1.12013257704449e-4
1388	8.47387100372483e-5
1389	9.78143516372245e-5
1390	1.16110312148661e-4
1391	9.13668738238783e-5
1392	1.0478431305665e-4
1393	9.44370296532601e-5
1394	7.30272475355652e-5
1395	8.52702279419917e-5
1396	9.63146580589683e-5
1397	9.82510094059939e-5
1398	1.08998813383496e-4
1399	8.38684059325976e-5
1400	1.04099212074615e-4
1401	1.01646399987287e-4
1402	1.21463134107195e-4
1403	1.1917595082871e-4
1404	1.01182639322525e-4
